test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
LGALS3	0.880797946015337	0.00991102744416851	0.00787134637611734	0.0365828661707441	39	Niche-stressed primitive AML
LAMB1	0.881743860004731	0.00988482540365711	0.00784514433560593	0.0572448279181624	40	Niche-stressed primitive AML
NEGR1	0.888770649640215	0.00988415423683668	0.0078444731687855	0.0610451320972382	41	Niche-stressed primitive AML
COL4A2	0.862876254180603	0.00985836048293047	0.00781867941487929	0.0555049112491935	42	Niche-stressed primitive AML
LAMA3	0.869278064930238	0.00984973737728635	0.00781005630923517	0.0583035634434605	43	Niche-stressed primitive AML
HLA-C	0.868669977365631	0.00981126377810743	0.00777158271005625	0.0580720584555172	44	Niche-stressed primitive AML
ICAM1	0.86095064355934	0.00981016783528167	0.00777048676723049	0.0398814260018115	45	Niche-stressed primitive AML
ENPP1	0.852150265193743	0.00976037353994511	0.00772069247189393	0.0572100186670193	46	Niche-stressed primitive AML
C1QA	0.877943312725923	0.00973492218722132	0.00769524111917015	0.0480248775067842	47	Niche-stressed primitive AML
TFPI	0.860714165061992	0.00965491147181812	0.00761523040376694	0.0329654573067089	48	Niche-stressed primitive AML
BGN	0.862217492652275	0.00962367561221071	0.00758399454415954	0.0477093266080819	49	Niche-stressed primitive AML
FAM3C	0.856626465322119	0.00960891770546379	0.00756923663741262	0.0504032592608034	50	Niche-stressed primitive AML
CIB1	0.822421539812844	0.00960376427583702	0.00756408320778585	0.0523474049979125	51	Niche-stressed primitive AML
CLMP	0.864379581770886	0.0095802035592468	0.00754052249119563	0.0567949712256837	52	Niche-stressed primitive AML
NRP1	0.876946724772812	0.00956664233458587	0.00752696126653469	0.045456964504813	53	Niche-stressed primitive AML
GPI	0.849481436437959	0.00952978145851693	0.00749010039046575	0.0405396652664087	54	Niche-stressed primitive AML
SFRP1	0.829515894733286	0.00951997457412261	0.00748029350607143	0.0525512690152923	55	Niche-stressed primitive AML
LAMA1	0.874159656768354	0.00950977949749854	0.00747009842944736	0.0578578952558216	56	Niche-stressed primitive AML
RECK	0.875578527752441	0.00949666680765622	0.00745698573960504	0.0616547915895555	57	Niche-stressed primitive AML
COL4A5	0.859903381642513	0.00942070621836581	0.00738102515031463	0.0543427809220484	58	Niche-stressed primitive AML
TIMP2	0.856136617006182	0.00939926287095664	0.00735958180290546	0.0487870203221118	59	Niche-stressed primitive AML
HSP90B1	0.852555656903484	0.00934531064326391	0.00730562957521273	0.0425130265694498	60	Niche-stressed primitive AML
CD99	0.867031519205433	0.00933306940078364	0.00729338833273246	0.0316938615519173	61	Niche-stressed primitive AML
LIN7C	0.848113239417586	0.00933220774659975	0.00729252667854857	0.056616680901868	62	Niche-stressed primitive AML
CFH	0.87280835106922	0.00931200589588256	0.00727232482783139	0.0594950298527692	63	Niche-stressed primitive AML
COL4A1	0.876423093814399	0.00928899732929071	0.00724931626123954	0.0481285822315245	64	Niche-stressed primitive AML
LAMC1	0.864768082159386	0.00925600438776918	0.007216323319718	0.055557457355784	65	Niche-stressed primitive AML
PLAT	0.850731394209654	0.0091876966793782	0.00714801561132703	0.0355887897690713	66	Niche-stressed primitive AML
FN1	0.868974021147934	0.00918510463834764	0.00714542357029646	0.048573371318031	67	Niche-stressed primitive AML
NFASC	0.850072632681329	0.00918023665242042	0.00714055558436924	0.0549161989591046	68	Niche-stressed primitive AML
COL13A1	0.873399547312591	0.00911531985539407	0.0070756387873429	0.0576174062993486	69	Niche-stressed primitive AML
ADAM12	0.877909530083443	0.00909520367931791	0.00705552261126674	0.055391310197218	70	Niche-stressed primitive AML
LGALS1	0.870392892132025	0.00908968839795771	0.00705000732990653	0.0382614856977628	71	Niche-stressed primitive AML
COL16A1	0.864835647444343	0.00907406435774299	0.00703438328969181	0.0415720991740211	72	Niche-stressed primitive AML
ANXA1	0.855511638120335	0.00905896199942205	0.00701928093137087	0.0457774801356906	73	Niche-stressed primitive AML
NRG1	0.861288469984123	0.00903414654332887	0.00699446547527769	0.0512191925465421	74	Niche-stressed primitive AML
CLEC11A	0.840478362217492	0.00902979696146073	0.00699011589340955	0.0550998563675195	75	Niche-stressed primitive AML
NECTIN2	0.870612479308133	0.00894846922110306	0.00690878815305188	0.0455241583971066	76	Niche-stressed primitive AML
LAMA4	0.849650349650349	0.00894257912252228	0.00690289805447111	0.0570144682347947	77	Niche-stressed primitive AML
S100A4	0.837066315327182	0.00891503881666877	0.0068753577486176	0.0536884918818995	78	Niche-stressed primitive AML
HLA-A	0.856322421539813	0.0088978898013593	0.00685820873330812	0.0577405867320598	79	Niche-stressed primitive AML
THY1	0.877673051586095	0.00887915656070597	0.00683947549265479	0.0539472888551434	80	Niche-stressed primitive AML
RPS19	0.855697442653965	0.00886789471642311	0.00682821364837193	0.0547057270345769	81	Niche-stressed primitive AML
PSEN1	0.884193101584406	0.00884901370753279	0.00680933263948161	0.0445316272381101	82	Niche-stressed primitive AML
VCAN	0.860714165061992	0.00880786368060673	0.00676818261255555	0.0548363270982322	83	Niche-stressed primitive AML
FBN1	0.868382824904564	0.00880376730949484	0.00676408624144366	0.0471913045063622	84	Niche-stressed primitive AML
SEMA5A	0.852927265970743	0.00879857583819567	0.0067588947701445	0.048608157490309	85	Niche-stressed primitive AML
TNC	0.841711428667949	0.00879486478463784	0.00675518371658666	0.0358244222125651	86	Niche-stressed primitive AML
COPA	0.87441302658694	0.00879362668942908	0.0067539456213779	0.0408674681959533	87	Niche-stressed primitive AML
