test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
TNC	0.81109463800346	0.0086301167911552	0.0064111818799126	0.0335633149355697	56	HSPC / LSC-like AML
CD99	0.816299110452188	0.00862590485235806	0.00640696994111546	0.0281178719230191	57	HSPC / LSC-like AML
FBN1	0.825055596738326	0.0085658966608659	0.00634696174962329	0.0377038005152694	58	HSPC / LSC-like AML
MELTF	0.827140474425503	0.00855216295471608	0.00633322804347347	0.0453759057564252	59	HSPC / LSC-like AML
FN1	0.821858784284656	0.00855009009251595	0.00633115518127335	0.0407843819794033	60	HSPC / LSC-like AML
COL16A1	0.816237336298494	0.00851540168400158	0.00629646677275897	0.0381486746901585	61	HSPC / LSC-like AML
HSP90B1	0.818337657524093	0.00849779304293605	0.00627885813169344	0.0370485810888846	62	HSPC / LSC-like AML
CD14	0.847603162836668	0.00845914036112784	0.00624020544988523	0.0433259812574855	63	HSPC / LSC-like AML
LAMA4	0.821457252285644	0.00844568409793418	0.00622674918669158	0.0538381913410622	64	HSPC / LSC-like AML
THBS2	0.858259204348899	0.00844219833282137	0.00622326342157876	0.0535473056050299	65	HSPC / LSC-like AML
PSEN1	0.842367803311095	0.00844073809611496	0.00622180318487235	0.042107701978783	66	HSPC / LSC-like AML
LGALS1	0.820098220904375	0.00843235160783845	0.00621341669659585	0.0312787831374471	67	HSPC / LSC-like AML
PLAT	0.808129478626144	0.0084255345003738	0.0062065995891312	0.0353564901059639	68	HSPC / LSC-like AML
