test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
CD99	0.826778504803005	0.00736110184581419	0.00569327696742642	0.0291222807288401	57	GMP-like AML
SFRP1	0.830989837115411	0.00735051176800466	0.00568268688961689	0.0466582954863193	58	GMP-like AML
PLAT	0.822358346094946	0.00734047619199159	0.00567265131360382	0.0327530487650712	59	GMP-like AML
MELTF	0.83846118149334	0.00732533923500699	0.00565751435661922	0.0429263826533396	60	GMP-like AML
ANXA1	0.815014617847692	0.00729527204824781	0.00562744716986004	0.0456839240758665	61	GMP-like AML
ENG	0.867801290083066	0.00725185960241186	0.00558403472402409	0.0453595167142433	62	GMP-like AML
HLA-A	0.805060559654729	0.00724744488772087	0.0055796200093331	0.0493738333055844	63	GMP-like AML
MMP9	0.849331755533899	0.00719318794114252	0.00552536306275475	0.0367234037110626	64	GMP-like AML
COL16A1	0.827323773724998	0.00718892858446794	0.00552110370608017	0.0373090376231666	65	GMP-like AML
CALM2	0.831790338298761	0.00716810380858541	0.00550027893019764	0.0296627772976033	66	GMP-like AML
FN1	0.832544433616408	0.00716591063173193	0.00549808575334416	0.0385403022543296	67	GMP-like AML
LAMC1	0.832196389623648	0.00716245913877092	0.00549463426038315	0.042802672430605	68	GMP-like AML
FBN1	0.836500533667454	0.00716184420970179	0.00549401933131402	0.036093998394506	69	GMP-like AML
COL12A1	0.833402942131885	0.00708724690432402	0.00541942202593625	0.0422960635982594	70	GMP-like AML
