"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LMNB1",9.271334103033e-56,-1.90569553601325,0.096,0.288,2.00029033272937e-51
"C1QA",1.09233201782178e-55,1.42197232260862,0.446,0.242,2.3567063284505e-51
"RBM7",1.50175839919431e-55,8.07734445242699,0.09,0,3.24004374626172e-51
"POLA1",2.52260156928401e-55,-1.6399892470267,0.153,0.357,5.44251288573024e-51
"LENG8",2.65407921448985e-55,-7.98524984574469,0,0.127,5.72617590526184e-51
"EIF3A",3.33665183944208e-55,-0.901927360145814,0.378,0.601,7.1988263435963e-51
"COG5",3.70545908378961e-55,-0.869639793603555,0.383,0.621,7.99452797327608e-51
"RPL13",8.29527570030671e-55,-0.762485472568833,0.683,0.818,1.78970573234117e-50
"HRH2",1.40608319953952e-54,-1.88815830329657,0.088,0.276,3.03362450300652e-50
"SMARCC1",1.93230878570464e-54,-0.93077082678199,0.323,0.559,4.16895620515775e-50
"BPI",2.34931758085037e-54,-3.03914285373989,0.026,0.178,5.06865268068468e-50
"MBNL1",2.41100436436992e-54,-0.431527843014162,0.942,0.983,5.2017419161281e-50
"AFF2",2.50772826096853e-54,-2.47077686354943,0.057,0.229,5.4104237230396e-50
"SMYD3",2.82640823602566e-54,-0.716232706575371,0.591,0.779,6.09797576922535e-50
"LRBA",4.09288732271291e-54,-0.821684025408555,0.417,0.656,8.83040439875309e-50
"APBB1IP",4.16699953997394e-54,-0.895372289906438,0.407,0.634,8.99030150749377e-50
"SEC62",4.43804146172059e-54,0.679695176379523,0.826,0.693,9.57507445366217e-50
"CD74",5.92690656044148e-54,1.07946575395589,0.682,0.491,1.27873009041525e-49
"NEIL3",5.98131233792308e-54,-2.78708354008813,0.03,0.185,1.2904681369069e-49
"EEF1G",7.30063340621723e-54,-0.808975597955227,0.484,0.692,1.57511165739137e-49
"GPR141",7.71570062765966e-54,-1.50811139721462,0.235,0.438,1.66466241041757e-49
"FANCI",1.14621498473499e-53,-2.21468341229403,0.057,0.229,2.47295882956574e-49
"ENSG00000290886",2.07173188200987e-53,-2.61133048365931,0.04,0.2,4.4697615354363e-49
"EEF2",2.27044863544254e-53,-0.824341717659808,0.355,0.593,4.89849293096729e-49
"NUP210",2.37424592796519e-53,-1.50364684610877,0.108,0.308,5.1224355895849e-49
"HMGB2",2.87341845287848e-53,-0.95138873013017,0.399,0.62,6.19940031208533e-49
"TRERF1",3.07568487692654e-53,-1.48041153380762,0.188,0.393,6.63579012196901e-49
"PRSS57",4.74827080620515e-53,-4.29870339552854,0.008,0.141,1.02443942643876e-48
"CHSY1",7.91613334990154e-53,-1.59083422375518,0.163,0.363,1.70790577024126e-48
"CCL7",1.12399838751119e-52,2.49674881191612,0.306,0.136,2.42502652105539e-48
"DLEU2",1.76439562085762e-52,-0.722775177006231,0.558,0.756,3.80668355200032e-48
"RPL27A",4.02958466346231e-52,-0.800809553536325,0.407,0.632,8.69382891141993e-48
"SMIM29",4.29070552113579e-52,8.02925016422595,0.084,0,9.25719716185047e-48
