"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.49031354861803e-07,0.369665994547737,0.522,0.393,0.0161603514811434,"10","SMAD2"
7.54718121245854e-07,0.504516480776637,0.408,0.292,0.0162830434658793,"10","CKAP5"
7.64427449874992e-07,0.350344302711789,0.451,0.322,0.016492522231053,"10","RBBP4"
7.66156693357708e-07,0.625761541933099,0.274,0.178,0.0165298306591926,"10","SMARCC2"
7.6973697347685e-07,0.53512558962403,0.274,0.175,0.016607075202763,"10","HDAC1"
7.93025456061093e-07,0.438199576868713,0.405,0.287,0.0171095242145181,"10","EIF2S3"
8.01840481675667e-07,0.528720014527212,0.316,0.21,0.0172997083921525,"10","SUMO3"
8.33037046881102e-07,0.56074886871985,0.546,0.447,0.0179727742864598,"10","TLE4"
8.35454641844129e-07,0.480277456795857,0.26,0.161,0.0180249338977871,"10","AURKAIP1"
8.3823256120636e-07,0.578523570447826,0.262,0.166,0.0180848675080272,"10","AKAP8L"
8.4533496667858e-07,0.52729224298069,0.277,0.178,0.0182381019060904,"10","DDX27"
8.5319198221267e-07,0.456991699718251,0.42,0.303,0.0184076170162383,"10","CDK17"
8.62484240863794e-07,0.423245344969915,0.328,0.216,0.0186080974966364,"10","ATP5PD"
8.7407378125144e-07,0.458447350170559,0.468,0.347,0.0188581418304998,"10","ZNF654"
8.85527993744033e-07,0.304294383952598,0.578,0.435,0.0191052664650275,"10","HDAC8"
8.89546731095267e-07,0.375707081522079,0.476,0.343,0.0191919707233804,"10","YEATS2"
8.92146030397374e-07,0.666379202394787,0.359,0.258,0.0192480506058233,"10","WWC2"
8.95310570614606e-07,0.45515479179637,0.294,0.189,0.0193163255610101,"10","CSK"
9.3290269879782e-07,0.523471118255881,0.296,0.194,0.020127375726563,"10","FRG1"
9.54581844818741e-07,0.543767904037265,0.277,0.178,0.0205951033019643,"10","RNF181"
9.84404202036277e-07,0.630935014434884,0.468,0.363,0.0212385206589327,"10","FER"
9.85332362050547e-07,0.591576478013038,0.32,0.218,0.0212585457112406,"10","TAPT1"
1.0063879960624e-06,0.523078450753795,0.333,0.226,0.0217128210150464,"10","PDCD6"
1.00665048704772e-06,0.628318574926139,0.289,0.19,0.0217184842580546,"10","C1QBP"
1.01632734652334e-06,0.582322280668202,0.386,0.281,0.0219272625012411,"10","SSR1"
1.0182012889041e-06,0.445983629844604,0.447,0.326,0.021967692808106,"10","SPART"
1.04994979919084e-06,0.470509562450884,0.291,0.188,0.0226526669175423,"10","GTF2F1"
1.07508175842949e-06,0.437033382673809,0.318,0.209,0.0231948889381162,"10","ZNF655"
1.07706271437554e-06,0.568281478298376,0.301,0.2,0.0232376280626523,"10","NAA60"
1.08104649931896e-06,0.412397279225889,0.362,0.247,0.0233235782228065,"10","NDUFB8"
1.09648412945464e-06,0.489711433223323,0.456,0.346,0.0236566450929838,"10","PSME4"
1.09656019129642e-06,0.339886752529155,0.425,0.297,0.0236582861272202,"10","GLYR1"
1.11122307500884e-06,0.346447956293689,0.391,0.269,0.0239746378433156,"10","UGGT2"
1.15129215779004e-06,0.381838816182875,0.464,0.335,0.0248391283043201,"10","CARD8"
1.15163186099008e-06,0.410542505654471,0.439,0.316,0.024846457400861,"10","ETF1"
1.15218999021331e-06,0.489336796083323,0.255,0.159,0.0248584990388522,"10","ZNF680"
1.15737102944898e-06,0.311123014961316,0.75,0.626,0.0249702799603617,"10","RSRC1"
1.18888812183867e-06,0.486282907011814,0.296,0.194,0.0256502612286694,"10","LLPH"
1.19143408237854e-06,0.492588024128838,0.347,0.239,0.025705190327317,"10","TBRG1"
1.19357648197509e-06,0.53668037737019,0.306,0.205,0.0257514125986126,"10","MRE11"
1.21238360822884e-06,0.435170682212403,0.653,0.542,0.0261571763475372,"10","SLCO3A1"
1.21282940420632e-06,0.427128926693752,0.325,0.216,0.0261667943957513,"10","ANXA7"
1.21855689039762e-06,0.599606630558616,0.282,0.185,0.0262903649103287,"10","TRIM56"
1.23448493399905e-06,0.424652387483407,0.376,0.261,0.0266340124510294,"10","HNRNPUL2"
1.24775533181108e-06,0.489794651853494,0.447,0.333,0.0269203212838239,"10","EYA3"
1.27239197727555e-06,0.481173936899823,0.284,0.184,0.02745185690972,"10","MFF"
1.28728536872775e-06,0.383306942559613,0.478,0.349,0.0277731818303011,"10","MCL1"
1.28961765345733e-06,0.628338309857764,0.337,0.228,0.0278235008733419,"10","PLIN2"
1.2920597816039e-06,0.961536567814081,0.466,0.363,0.0278761897881041,"10","UBASH3B"
1.30153370493969e-06,0.527391565961074,0.286,0.187,0.0280805896840739,"10","PDHX"
1.32090142866213e-06,0.583718644470749,0.294,0.196,0.0284984483233855,"10","ZNF431"
1.32399053464057e-06,0.417914662430179,0.415,0.296,0.0285650957848703,"10","MTREX"
1.34931161022711e-06,0.418192487888858,0.4,0.283,0.0291113979906499,"10","HNRNPUL1"
1.36117739095871e-06,0.528073711580087,0.306,0.205,0.0293674022099343,"10","IMMP1L"
1.37594112162298e-06,0.6156386379763,0.25,0.159,0.0296859296990158,"10","ZNF433-AS1"
1.41769426995072e-06,0.358026718089503,0.544,0.412,0.0305867538741868,"10","SMC5"
1.43110926253739e-06,0.478406399492469,0.34,0.232,0.0308761823392442,"10","PSMC1"
1.47015882354616e-06,0.34675447058402,0.442,0.315,0.0317186766180084,"10","DYNC1I2"
1.50492804148348e-06,0.434394264115342,0.303,0.199,0.0324688224950062,"10","SRP9"
1.53946478730721e-06,0.575033094726097,0.255,0.163,0.0332139527861531,"10","NUTM2B-AS1"
1.55884946962969e-06,0.412932111668891,0.502,0.383,0.0336321773072605,"10","COPB1"
1.60508325566514e-06,0.563952723114254,0.282,0.185,0.0346296712409755,"10","SLC25A26"
1.60685173378814e-06,0.449295499708221,0.379,0.268,0.0346678261564791,"10","NDUFA10"
1.63949023267981e-06,0.314462175785849,0.648,0.515,0.0353720017700668,"10","CAPZA1"
1.72222453109132e-06,0.570677652629276,0.267,0.173,0.0371569942582953,"10","PANK3"
1.73244125864332e-06,0.440608963908135,0.308,0.204,0.0373774201552297,"10","SELENOW"
1.73360704672425e-06,0.50522508422225,0.323,0.221,0.0374025720330757,"10","CSNK1D"
1.75923610069323e-06,0.734749232538634,0.422,0.33,0.0379555188724564,"10","PECAM1"
1.82356913096906e-06,0.392275399711121,0.403,0.289,0.0393435040006574,"10","DBI"
1.83113637164373e-06,0.553699856125325,0.296,0.199,0.0395067672182135,"10","CCT3"
1.84757001813261e-06,0.299876833551842,0.825,0.673,0.039861323141211,"10","MYCBP2"
1.85518365714454e-06,0.594796349547527,0.267,0.173,0.0400255874028935,"10","CHORDC1"
1.86831641380357e-06,0.316497102503812,0.561,0.41,0.040308926627812,"10","ENSG00000290928"
1.92945676294025e-06,0.500333210912176,0.33,0.224,0.0416280296604358,"10","PANK2"
1.9844684087827e-06,0.554728097771047,0.393,0.286,0.0428149059194867,"10","SLC38A2"
1.99534326866841e-06,0.386182485126669,0.442,0.32,0.043049531021521,"10","ZC3H13"
2.01489793662472e-06,0.444890889867002,0.444,0.323,0.0434714229826783,"10","TESC"
2.02139098274977e-06,0.370405841753992,0.359,0.245,0.0436115104528262,"10","TAF1"
2.05653561228458e-06,0.324678133446528,0.51,0.382,0.0443697558350399,"10","LCP2"
2.06538790353624e-06,0.448316201154494,0.386,0.274,0.0445607440187943,"10","APAF1"
2.0697360715093e-06,0.556990408898185,0.274,0.18,0.0446545557428132,"10","KIFAP3"
2.11916043266571e-06,0.412906019747092,0.325,0.217,0.0457208863347628,"10","FKBP8"
