"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDV3",5.90735886628789e-17,0.421112379130641,0.618,0.528,1.27451267540161e-12
"PKN3",5.96211719048451e-17,-2.3445519564392,0.008,0.042,1.28632678384703e-12
"PLTP",5.97043565156844e-17,1.05356034533185,0.158,0.088,1.28812149182589e-12
"U2AF2",6.17327663712019e-17,-0.906724462658465,0.089,0.16,1.33188443445868e-12
"TRAF3IP2-AS1",6.17707857750156e-17,-0.681038147016735,0.188,0.278,1.33270470309596e-12
"SRGAP1",6.31640214955351e-17,0.711008588950248,0.255,0.168,1.36276376376617e-12
"RBBP7",6.42655746684192e-17,-0.537513657896727,0.217,0.312,1.38652977347114e-12
"FARP1",6.43440238245233e-17,0.88077901705656,0.161,0.089,1.38822231401409e-12
"KMO",6.62577331269166e-17,0.730048733874087,0.232,0.148,1.42951059221323e-12
"ENSG00000290057",6.63126584091266e-17,6.27128985716593,0.023,0,1.43069560517691e-12
"LRRC37A",6.6312666517815e-17,6.23229572555006,0.023,0,1.43069578012186e-12
"PARP3",6.63237986039409e-17,6.29039868011363,0.023,0,1.43093595488002e-12
"ENSG00000267523",6.67841997750071e-17,-6.16698219895891,0,0.024,1.44086911014578e-12
"TMEM38A",6.68014917103542e-17,-6.27945692821732,0,0.024,1.44124218365089e-12
"PTPRO",6.81831995873185e-17,0.708806963731713,0.228,0.144,1.4710525310964e-12
"SPG7",6.85288801427144e-17,-0.62306549564756,0.199,0.291,1.47851058907906e-12
"ZNF83",6.88659097285889e-17,-0.669881873014549,0.168,0.255,1.48578200239431e-12
"TP53I3",6.91336505150357e-17,1.58895951957656,0.069,0.023,1.4915585098619e-12
"PSME1",6.97037913883466e-17,0.837765367752598,0.305,0.223,1.50385929920358e-12
"TUBGCP4",6.99249239380628e-17,-1.11125660724447,0.066,0.13,1.5086302339637e-12
"TFAP2E",7.11070356379804e-17,-1.58850373180795,0.022,0.066,1.53413429388943e-12
"TRPS1",7.11981230828887e-17,0.0695207660214774,0.848,0.664,1.53609950551332e-12
"ABCA1",7.36839330590186e-17,0.34937831129182,0.429,0.318,1.58973085574833e-12
"ST3GAL5",7.63637169757233e-17,0.636199777807151,0.258,0.17,1.64754719375123e-12
"COX6B1",8.03483690818785e-17,0.654922988039156,0.36,0.273,1.73351606294153e-12
"NHLRC2",8.16351889174625e-17,-0.775271524182313,0.151,0.234,1.76127920089425e-12
"PCNX4",8.42321443317709e-17,-0.5761289307514,0.255,0.349,1.81730851395796e-12
"MIDN",8.51665456680921e-17,-0.643364138562276,0.19,0.28,1.83746822278909e-12
"ENSG00000290357",8.54972156673444e-17,-3.39048824060606,0.004,0.033,1.84460242802296e-12
"TXLNG",8.55248721569766e-17,-0.865250713917331,0.099,0.173,1.84519911678677e-12
"ELL2",8.82226698566861e-17,0.281013327999821,0.599,0.473,1.903404102158e-12
"SF3B1",1.00470074809048e-16,-0.37884347829496,0.456,0.551,2.16764186400522e-12
"BLTP2",1.01315714928055e-16,-0.505766204515442,0.294,0.39,2.18588654957279e-12
"GNG12",1.06147146780501e-16,1.01222487980192,0.139,0.073,2.2901246917893e-12
