"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AVEN",6.75318887983207e-07,-0.765821664285842,0.054,0.094,0.0145700050082377
"MLLT10",6.79274561618646e-07,-0.288937928663461,0.289,0.367,0.0146553486669223
"FOXO3",7.0082155231525e-07,0.523175151140829,0.338,0.283,0.0151202249912015
"SMAD7",7.04775715229039e-07,-0.920827245892415,0.029,0.061,0.0152055360560665
"GHR",7.05314595309408e-07,3.51101854107298,0.011,0.001,0.0152171623938005
"RPS6",7.15606639623069e-07,-0.251075592191289,0.614,0.667,0.0154392132498677
"INPP5A",7.20247930842163e-07,-0.753110612536287,0.096,0.144,0.0155393491079197
"ACE",7.21517824641871e-07,-0.661250400837629,0.102,0.151,0.0155667470666484
"SH3TC1",7.25181305944659e-07,-0.774037915045636,0.054,0.094,0.015645786675756
"SATB1-AS1",7.30372753926482e-07,0.699950116216315,0.134,0.089,0.0157577921659638
"CAB39",7.56235092534836e-07,-0.200316033924586,0.533,0.624,0.0163157721214391
"KLF3",7.6141760632743e-07,0.518812698554781,0.307,0.252,0.0164275848565143
"RENBP",7.62647609605616e-07,-0.836311426932467,0.038,0.073,0.0164541221772412
"YIPF4",7.64605179201378e-07,0.685667189721533,0.197,0.147,0.0164963567412697
"RPL22",7.64887584556532e-07,-0.136924606224985,0.708,0.763,0.0165024496368072
"PLAC8",7.87100220762081e-07,-0.8289267049238,0.126,0.178,0.0169816872629419
"KCNMA1",7.88413930006707e-07,-0.47707041815301,0.287,0.343,0.0170100305398947
"VEZT",7.89265247800463e-07,-0.429977265102157,0.154,0.214,0.017028397721295
"FBXO42",8.18625112210482e-07,-0.388258870425661,0.209,0.274,0.0176618367959411
"PLEKHM2",8.19708909707898e-07,-0.313238440895041,0.249,0.322,0.0176852197269479
"N4BP2L2",8.22848809145539e-07,0.288327579633889,0.668,0.632,0.017752963057315
"PSMC3IP",8.2476089224025e-07,2.28862611973654,0.021,0.005,0.0177942162500834
"ATF4",8.28736478178435e-07,0.756131038909514,0.189,0.14,0.0178799895166997
"TEX41",8.35492294901547e-07,-0.914851441416804,0.07,0.113,0.0180257462625009
"PLPPR3",8.36371633146247e-07,-1.7988367215138,0.007,0.027,0.0180447179851303
"DDX50",8.435928306517e-07,0.700803964876138,0.198,0.149,0.0182005153213104
"BTK",8.52860511898458e-07,-0.378919608188027,0.139,0.197,0.0184004655442092
"CDC20",8.53588734280512e-07,2.37608896098687,0.028,0.009,0.0184161769421021
"COX5A",8.5693689879887e-07,-0.353177173602431,0.259,0.328,0.0184884135915856
"CMTM8",8.59350612637321e-07,-0.4280949691555,0.063,0.106,0.0185404894676502
"COG5",8.6129224378224e-07,-0.206237083784476,0.383,0.463,0.0185823801596018
"NMNAT3",8.6250656607022e-07,-0.709996605656824,0.06,0.102,0.018608579162965
"NKAPD1",8.7248782035693e-07,0.713062317017628,0.14,0.095,0.0188239247242008
"MED10",8.72569449697104e-07,0.692044535748546,0.164,0.116,0.018825685877215
"FCGR1A",8.72677183852495e-07,-0.510826934860378,0.154,0.211,0.0188280102416176
